ID,First Name,Last Name,Address,City,State,Zip,Phone Number,Date of Birth,Checking Account Number,Checking Balance,Savings Account Number,Savings Balance,Credit Account Number,Credit Balance,Credit Score,Credit Limit
15,Peter,Pan,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,8/22/60,1000015,482.29,2000015,465.5,3000015,2132.2,802,16400
16,Woody,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,2/2/39,1000016,466.99,2000016,108.86,3000016,116.25,306,400
17,Buzz,Lightyear,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,9/18/84,1000017,155.56,2000017,264.92,3000017,15.37,461,100
18,Jafar,Aladdin,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,6/22/67,1000018,126.46,2000018,424.34,3000018,1924.48,754,14800
19,Ursela,Mermaid,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,12/25/73,1000019,232.47,2000019,382.23,3000019,1840.31,759,8000
20,Beast,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,10/6/64,1000020,495.75,2000020,443.99,3000020,56.11,503,400
21,Belle,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,1/1/64,1000021,96.46,2000021,466.92,3000021,45.85,347,300
22,Cruella,DeVil,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,6/12/46,1000022,433.05,2000022,356.41,3000022,102.68,594,3400
23,Scar,Lion,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,1/16/44,1000023,472.92,2000023,59.73,3000023,3260.79,824,16300
24,Simba,King,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,12/28/00,1000024,295.02,2000024,70.9,3000024,69.78,328,300
25,Gaston,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,7/27/81,1000025,492.96,2000025,262.53,3000025,18.96,348,100
26,Shere,Khan,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,9/3/91,1000026,170.76,2000026,266.12,3000026,2.66,456,100
27,Captaiin,Hook,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,3/2/83,1000027,234.98,2000027,469.36,3000027,1484.03,698,5300
28,Kaa,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,9/8/33,1000028,384.88,2000028,413.47,3000028,26.42,318,200
29,Evil,Queen,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,11/11/16,1000029,305,2000029,177.46,3000029,3120.32,843,20800
30,Pinocchio,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,5/22/45,1000030,173.42,2000030,310.45,3000030,646.81,635,3800
31,Prince,Eric,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,2/12/08,1000031,418.87,2000031,277.18,3000031,66.64,518,600
32,Quasimodo,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,11/13/50,1000032,246.68,2000032,262.76,3000032,4350.78,798,15000
33,Hercules,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,10/8/17,1000033,156.73,2000033,291.47,3000033,50.85,558,500
34,Mulan,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,11/24/09,1000034,179.08,2000034,441.51,3000034,57.3,473,300
35,Lilo,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,7/9/11,1000035,410.67,2000035,130.34,3000035,105.01,366,500
36,Stitch,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,1/19/52,1000036,496.7,2000036,390,3000036,156,369,600
37,Daniel,Mejia,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/3/47,1000037,402.12,2000037,387.08,3000037,0.51,601,1200
38,Erik,Macik,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/2/74,1000038,192.37,2000038,80.41,3000038,14.38,377,200
39,Lorelyne,Chavez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,12/15/67,1000039,449.6,2000039,425.19,3000039,58.25,494,200
40,Efrain,Retana,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,8/27/48,1000040,339.66,2000040,385.22,3000040,5302.05,837,24100
41,Eduardo,Briones,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,5/21/29,1000041,195.09,2000041,191.06,3000041,1334.67,693,5800
42,Aaron,Cardiel,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,2/16/81,1000042,335.05,2000042,113.96,3000042,168.63,606,2400
43,Carlos,Castanon,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,10/21/28,1000043,145.02,2000043,413.55,3000043,348.12,807,17400
44,Ashley,Chacon,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/5/68,1000044,425.19,2000044,268,3000044,594.44,831,19800
45,Cristian,CruzDuarte,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,5/14/49,1000045,177.28,2000045,202.61,3000045,60.74,348,300
46,Andres,DeLaRosa,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/22/46,1000046,238.17,2000046,114.84,3000046,1575.38,713,6300
47,Alberto,Delgado,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,7/25/73,1000047,84.45,2000047,475.96,3000047,1134.9,723,6300
48,Clarissa,Dominguez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/16/35,1000048,363.31,2000048,350.84,3000048,9.6,513,100
49,Luis,Fierro,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,4/21/84,1000049,143.54,2000049,61.73,3000049,54.97,366,600
50,Miguel,Flores,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,7/30/81,1000050,93.32,2000050,484.29,3000050,6.23,460,300
51,Erick,Garcia,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,6/16/16,1000051,165.86,2000051,341.26,3000051,1159.94,735,6100
52,Johnatan,Garcia,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/24/49,1000052,106.63,2000052,133.89,3000052,84.87,537,400
53,Victor,Juarez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,12/25/51,1000053,213.81,2000053,348.52,3000053,39.35,448,300
54,Geber,Leyva,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/24/20,1000054,123.1,2000054,217.51,3000054,54.27,655,2700
55,Justin,Lim,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,6/13/04,1000055,493.01,2000055,296.49,3000055,520.69,613,2000
56,Guillermo,Lopez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,2/26/75,1000056,383.65,2000056,284.47,3000056,25.12,569,100
57,Maria,Loya,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,4/28/96,1000057,434.18,2000057,384.23,3000057,20.02,423,500
58,Clarissa,Lucio,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,11/7/53,1000058,464.83,2000058,182.2,3000058,110.04,321,500
59,David,Mares,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,8/9/91,1000059,437.84,2000059,345.04,3000059,90.99,351,600
60,Valeria,MartinDelCampo,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,8/28/95,1000060,175.17,2000060,105.7,3000060,0.61,671,5700
61,Bryan,Martinez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/8/55,1000061,111.4,2000061,161.67,3000061,900.89,701,6000
62,Pablo,Martinez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/30/71,1000062,127.32,2000062,282.91,3000062,4324.1,848,18800
63,Ulysses,Martinez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,2/21/88,1000063,92.51,2000063,153.97,3000063,3718.19,819,16900
64,Jose,MataNevarez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,8/14/72,1000064,309.75,2000064,229.24,3000064,6.24,301,100
65,Eric,Morris,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/25/32,1000065,396.94,2000065,194.91,3000065,1281.6,676,6100
66,Deyanira,OchoaMercado,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,2/2/73,1000066,421.58,2000066,372.25,3000066,16.43,516,200
67,Arturo,Olmos,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,6/27/13,1000067,271.63,2000067,309.28,3000067,10.52,459,100
68,Mauricio,OrnelasGutierrez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/4/75,1000068,490.46,2000068,207.54,3000068,12.19,347,400
69,Miguel,Ortiz,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,10/7/80,1000069,498.44,2000069,196.69,3000069,64.86,383,400
70,Angel,OteroMontanez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/11/65,1000070,427.63,2000070,99.45,3000070,1152.01,588,4800
71,Edmundo,Pariente,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,11/6/45,1000071,496.44,2000071,188.36,3000071,96.04,507,400
72,Jaehyeon,Park,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,6/28/36,1000072,377.35,2000072,389.9,3000072,810.73,626,4500
73,Daniel,Pedroza,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/10/14,1000073,493.18,2000073,487.7,3000073,1749.84,757,15900
74,Sebastian,Ramos,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,12/26/82,1000074,263,2000074,238.84,3000074,1392.42,726,5800
75,Franz,Reyes,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,5/26/71,1000075,303.15,2000075,283.07,3000075,0.94,810,16400
76,Jacob,Salgado,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,6/28/76,1000076,400.78,2000076,419.53,3000076,1088.91,761,13600
77,Diego,Sanchez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/30/29,1000077,477.58,2000077,124.36,3000077,22.03,517,100
78,Irvin,Sanchez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/7/45,1000078,302.78,2000078,119.56,3000078,54.48,523,600
79,Jose,Toriano,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/18/52,1000079,357.42,2000079,346.63,3000079,57.99,393,300
80,Dario,Vazquez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,9/24/52,1000080,360.59,2000080,278.14,3000080,874.21,586,3800
81,Jose,Vega,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,11/30/55,1000081,109.81,2000081,341.59,3000081,135.49,417,500
82,Sergio,Velasco,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,2/21/57,1000082,157.46,2000082,203.85,3000082,3256.11,770,14800
83,Javier,Venegas,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,12/23/33,1000083,406.11,2000083,494.54,3000083,16.49,507,400
84,Alan,Verdin,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,3/21/99,1000084,244.12,2000084,372.47,3000084,2000.34,741,10000
85,Ryan,Winkelman,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,1/10/98,1000085,273.04,2000085,260.22,3000085,876.67,712,7300
86,Courtney,Woods,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,10/19/79,1000086,190.53,2000086,370.46,3000086,483.35,684,6900
87,Alejandro,Yanez,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,7/25/20,1000087,185.47,2000087,399.71,3000087,132.86,308,600
88,Isaac,Zubia,500 W. University Ave.,El Paso,TX,79968,(915) 747-5000,7/14/34,1000088,322.91,2000088,119.96,3000088,952.34,763,11900
